date,item_code,wt,w_wt
2019-09-01,SAT1,15.23875931386486,17.635350539071307
2019-10-01,SAT1,15.278289615878231,17.68109774975708
2019-11-01,SAT1,15.230628564967118,17.625941071804085
2019-12-01,SAT1,14.465,16.557
2020-01-01,SAT1,14.385645414066369,16.46616876050445
2020-02-01,SAT1,14.27708105102389,16.341903281147772
2020-03-01,SAT1,14.12065160922892,16.16285023809217
2020-04-01,SAT1,13.53924161761703,15.497353851564823
2020-05-01,SAT1,13.37544333926664,15.30986625428536
2020-06-01,SAT1,13.608066632110662,15.57613268080582
2020-07-01,SAT1,13.928859281971482,15.943319953792038
2020-08-01,SAT1,14.040732268203495,16.071372565824074
2020-09-01,SAT1,14.026997472662122,16.05565137607098
2020-10-01,SAT1,14.003318802743703,16.02854817953871
2020-11-01,SAT1,13.964961711598978,15.984643695744507
2020-12-01,SAT1,14.055,16.043
2021-01-01,SAT1,14.164920611097402,16.16846825783249
2021-02-01,SAT1,14.343428025159458,16.37222453273804
2021-03-01,SAT1,14.72805429906827,16.81125401066896
2021-04-01,SAT1,15.016077302964117,17.1400162341838
2021-05-01,SAT1,15.328684656251077,17.496840123816153
2017-12-01,SEAA,0.581,0.58
2018-01-01,SEAA,0.5929847883634477,0.5919641605005157
2018-02-01,SEAA,0.6121938501407648,0.6111401602093692
2018-03-01,SEAA,0.6032777862128788,0.6022394423467635
2018-04-01,SEAA,0.599206679416568,0.5981753426189492
2018-05-01,SEAA,0.5942580341211812,0.5932352147853444
2018-06-01,SEAA,0.5844651124224597,0.5834591483735398
2018-07-01,SEAA,0.5844256851591756,0.5834197889712941
2018-08-01,SEAA,0.5745624389835905,0.5735735191230336
2018-09-01,SEAA,0.5926831532950133,0.5916630445974316
2018-10-01,SEAA,0.6063780296133592,0.6053343497000833
2018-11-01,SEAA,0.5855559197626947,0.5845480782484733
2018-12-01,SEAA,0.562,0.564
2019-01-01,SEAA,0.572053924547999,0.574089703638917
2019-02-01,SEAA,0.6035661776692414,0.6057141000097013
2019-03-01,SEAA,0.5908243610200276,0.5929269388172517
2019-04-01,SEAA,0.5785548172399675,0.5806137311803231
2019-05-01,SEAA,0.5780169507079858,0.5800739505325692
2019-06-01,SEAA,0.5714814778000884,0.5735152197139676
2019-07-01,SEAA,0.5699676712609896,0.5719960259629859
2019-08-01,SEAA,0.5756064996385863,0.5776549213454851
2019-09-01,SEAA,0.5936432192891993,0.595755828610513
2019-10-01,SEAA,0.5930867360008082,0.5951973649545476
2019-11-01,SEAA,0.5684222907637041,0.570445145890977
2019-12-01,SEAA,0.553,0.619
2020-01-01,SEAA,0.5808553520352058,0.6501798605963695
2020-02-01,SEAA,0.6005176462506574,0.6721888300708081
2020-03-01,SEAA,0.5939779503912075,0.6648686280147511
2020-04-01,SEAA,0.5642900348136428,0.6316374892398642
2020-05-01,SEAA,0.5530585443090675,0.6190655315141279
2020-06-01,SEAA,0.550918659417666,0.6166702534892139
2020-07-01,SEAA,0.5425363433459228,0.6072875163311504
2020-08-01,SEAA,0.5527863580301031,0.6187608600734787
2020-09-01,SEAA,0.560162839624328,0.6270177174095098
2020-10-01,SEAA,0.5502824196869471,0.6159580791794218
2020-11-01,SEAA,0.5423850746236926,0.6071181938373701
2020-12-01,SEAA,0.532,0.593
2021-01-01,SEAA,0.5528722196736523,0.6162654629069093
2021-02-01,SEAA,0.5616695181426644,0.6260714741703007
2021-03-01,SEAA,0.5559291283724929,0.6196728818136997
2021-04-01,SEAA,0.547522533246388,0.6103023725847895
2021-05-01,SEAA,0.5447194346245722,0.6071778660382918
2017-12-01,SEAA01,0.107,0.087
2018-01-01,SEAA01,0.10902390890706802,0.08864560817677493
2018-02-01,SEAA01,0.11127361862628495,0.0904748114064186
2018-03-01,SEAA01,0.10927057348627377,0.08884616722715717
2018-04-01,SEAA01,0.10724994717182602,0.08720322807428844
2018-05-01,SEAA01,0.10593131318660091,0.08613106773116148
2018-06-01,SEAA01,0.10304348190736255,0.08378301799944432
2018-07-01,SEAA01,0.10258802348079407,0.08341269198905686
2018-08-01,SEAA01,0.10192671499982187,0.08287499256994862
2018-09-01,SEAA01,0.10734816861716322,0.08728309037096448
2018-10-01,SEAA01,0.11135497037356835,0.09054095721963033
2018-11-01,SEAA01,0.10537380875722643,0.0856777697371841
2018-12-01,SEAA01,0.102,0.083
2019-01-01,SEAA01,0.10511275923858257,0.08553293153727798
2019-02-01,SEAA01,0.11160513169805786,0.09081594049940002
2019-03-01,SEAA01,0.11094337000819261,0.09027744814392145
2019-04-01,SEAA01,0.10502892770986884,0.08546471568548152
2019-05-01,SEAA01,0.10482747042976108,0.08530078476147225
2019-06-01,SEAA01,0.10159236024846269,0.0826682931433569
2019-07-01,SEAA01,0.10429388506673527,0.08486659275038264
2019-08-01,SEAA01,0.10835491566765926,0.08817115686682078
2019-09-01,SEAA01,0.1121980133917639,0.09129838344623928
2019-10-01,SEAA01,0.11433146474153445,0.09303442719164079
2019-11-01,SEAA01,0.10758238173111333,0.08754252631061184
2019-12-01,SEAA01,0.103,0.079
2020-01-01,SEAA01,0.10708892333282374,0.08213616449799103
2020-02-01,SEAA01,0.11335223785949011,0.08694006593106525
2020-03-01,SEAA01,0.11187243071294231,0.08580506821672275
2020-04-01,SEAA01,0.09722523813459515,0.07457081371488367
2020-05-01,SEAA01,0.09416811733686464,0.07222603174380882
2020-06-01,SEAA01,0.09601654645368747,0.07364375893049815
2020-07-01,SEAA01,0.09616810580019715,0.07376000347782113
2020-08-01,SEAA01,0.09474315367000809,0.07266707902845282
2020-09-01,SEAA01,0.09607171707776843,0.07368607426353113
2020-10-01,SEAA01,0.0924569849532335,0.07091360981849948
2020-11-01,SEAA01,0.08932949158833917,0.06851485277163877
2020-12-01,SEAA01,0.088,0.065
2021-01-01,SEAA01,0.08916027685576487,0.06585702267755361
2021-02-01,SEAA01,0.09278532659181991,0.06853461623259427
2021-03-01,SEAA01,0.08941065672419535,0.06604196235309885
2021-04-01,SEAA01,0.08645658129997513,0.06385997482384528
2021-05-01,SEAA01,0.08697269532501031,0.06424119541051898
2017-12-01,SEAA02,0.15,0.161
2018-01-01,SEAA02,0.1481173953287859,0.15897933765289687
2018-02-01,SEAA02,0.14914233414180558,0.160079438645538
2018-03-01,SEAA02,0.150890650559339,0.16195596493369055
2018-04-01,SEAA02,0.1497384304433426,0.1607192486758544
2018-05-01,SEAA02,0.15008806157898535,0.16109451942811098
2018-06-01,SEAA02,0.14968197593069071,0.160658654165608
2018-07-01,SEAA02,0.15432116087565004,0.16563804600653106
2018-08-01,SEAA02,0.15480922778186634,0.1661619044858699
2018-09-01,SEAA02,0.15515186230863134,0.16652966554459767
2018-10-01,SEAA02,0.15601750541028694,0.16745878914037465
2018-11-01,SEAA02,0.1563169133518832,0.16778015366435464
2018-12-01,SEAA02,0.151,0.161
2019-01-01,SEAA02,0.14616310226025875,0.1558427779066335
2019-02-01,SEAA02,0.15315092815716141,0.16329337373048336
2019-03-01,SEAA02,0.15126166859940865,0.1612789976457271
2019-04-01,SEAA02,0.14952041565465674,0.15942242993642208
2019-05-01,SEAA02,0.1516400886082592,0.1616824785823161
2019-06-01,SEAA02,0.14972327550724515,0.15963872421633424
2019-07-01,SEAA02,0.14671371586244372,0.15642985598578438
2019-08-01,SEAA02,0.1510597070381093,0.16106366114659337
2019-09-01,SEAA02,0.1549680570868985,0.16523084232444146
2019-10-01,SEAA02,0.15265238199514314,0.16276181126634467
2019-11-01,SEAA02,0.14906974423688227,0.15894191272939104
2019-12-01,SEAA02,0.155,0.182
2020-01-01,SEAA02,0.1608935422075844,0.18892015923729263
2020-02-01,SEAA02,0.16597980860137893,0.19489242042226426
2020-03-01,SEAA02,0.16517056574625427,0.19394221268269854
2020-04-01,SEAA02,0.16295967225021657,0.19134619580348008
2020-05-01,SEAA02,0.1612535207537418,0.18934284372374843
2020-06-01,SEAA02,0.16254772017586228,0.1908624843355286
2020-07-01,SEAA02,0.16027824137924937,0.18819767697434442
2020-08-01,SEAA02,0.16553549021880565,0.19437070464401693
2020-09-01,SEAA02,0.17042795531618002,0.20011540559706298
2020-10-01,SEAA02,0.16617929616944538,0.19512665743767135
2020-11-01,SEAA02,0.1622652616603781,0.19053082336896007
2020-12-01,SEAA02,0.158,0.182
